Transaction_ID,Customer_ID,Transaction_Amount,Payment_Method,Customer_Type,Email,Region,Currency,Transaction_Date,High_Amount,Suspicious_Method,Unknown_Customer_Type,Is_Anomaly,Is_Fraud
TXN107232,CUST8232,7930.12,Debit Card,Missing,user7232@yahoo.com,UK,USD,,False,False,True,True,False
TXN100615,CUST1615,17299.46,UPI,VIP,user615,UK,EUR,,False,False,False,False,False
TXN104136,CUST5136,34055.57,Unknown,Unknown,user4136@fraudmail.com,India,GBP,,False,True,True,True,True
TXN101482,CUST2482,24569.95,UPI,Missing,user1482@tempmail.org,Germany,EUR,2024-12-03 08:00:00,False,False,True,True,False
TXN100642,CUST1642,8726.46,Credit Card,Individual,user642@yahoo.com,USA,THB,,False,False,False,False,False
TXN107988,CUST8988,2745.17,Net Banking,Missing,user7988,Thailand,INR,,False,False,True,True,False
TXN101572,CUST2572,10389.13,Credit Card,Missing,user1572@yahoo.com,Thailand,EUR,2024-07-02 03:00:00,False,False,True,True,False
TXN107047,CUST8047,6284.57,Credit Card,VIP,user7047@tempmail.org,UK,GBP,,False,False,False,False,False
TXN105742,CUST6742,1074.47,Debit Card,Missing,user5742@fraudmail.com,India,THB,2024-03-04 16:00:00,False,False,True,True,False
TXN109920,CUST10920,25021.89,UPI,VIP,user9920,Germany,USD,,False,False,False,False,False
TXN102040,CUST3040,4097.92,Unknown,Unknown,user2040@yahoo.com,India,INR,,False,True,True,True,True
TXN106269,CUST7269,5813.98,Credit Card,Unknown,user6269@yahoo.com,USA,EUR,,False,False,True,True,False
TXN104420,CUST5420,51908.73,Net Banking,Business,user4420@yahoo.com,UK,EUR,2024-06-06 21:00:00,False,False,False,False,False
TXN105030,CUST6030,4225.54,Unknown,Business,user5030@tempmail.org,UK,THB,,False,True,False,True,False
TXN101397,CUST2397,26026.87,UPI,Missing,user1397@outlook.com,India,EUR,,False,False,True,True,False
TXN106194,CUST7194,9074.39,Debit Card,Missing,user6194,USA,GBP,,False,False,True,True,False
TXN105759,CUST6759,9418.85,Crypto,VIP,user5759@fraudmail.com,UK,THB,,False,True,False,True,False
TXN107722,CUST8722,35753.54,Debit Card,Missing,user7722,India,INR,,False,False,True,True,False
TXN107628,CUST8628,19597.16,UPI,Missing,user7628@yahoo.com,Germany,USD,2024-02-07 02:00:00,False,False,True,True,False
TXN107626,CUST8626,4326.59,Unknown,Individual,user7626@gmail.com,India,EUR,2024-12-07 12:00:00,False,True,False,True,False
TXN107828,CUST8828,1030.41,Crypto,Business,user7828@fraudmail.com,Thailand,USD,2024-07-07 17:00:00,False,True,False,True,False
TXN104108,CUST5108,12957.47,Net Banking,Business,user4108@outlook.com,UK,THB,2024-05-07 21:00:00,False,False,False,False,False
TXN106922,CUST7922,8122.91,Net Banking,Individual,user6922@outlook.com,USA,THB,,False,False,False,False,False
TXN100543,CUST1543,36465.13,Credit Card,Business,user543@outlook.com,Germany,THB,2024-01-12 13:00:00,False,False,False,False,False
TXN105551,CUST6551,7656.76,Debit Card,Individual,user5551@gmail.com,UK,INR,2024-11-02 05:00:00,False,False,False,False,False
TXN100403,CUST1403,3175.26,Unknown,Business,user403@outlook.com,India,INR,,False,True,False,True,False
TXN104376,CUST5376,12.79,Credit Card,Unknown,user4376@fraudmail.com,Germany,THB,,False,False,True,True,False
TXN104912,CUST5912,79215.65,Debit Card,Unknown,user4912@outlook.com,Thailand,GBP,2024-07-02 05:00:00,True,False,True,True,True
TXN108983,CUST9983,14274.85,Net Banking,Individual,user8983,Thailand,USD,,False,False,False,False,False
TXN102008,CUST3008,20429.17,Crypto,Missing,user2008,Germany,INR,2024-12-03 20:00:00,False,True,True,True,True
TXN101002,CUST2002,4283.75,UPI,Missing,user1002@tempmail.org,USA,GBP,,False,False,True,True,False
TXN104563,CUST5563,14995.2,Credit Card,Missing,,Germany,THB,,False,False,True,True,False
TXN104510,CUST5510,9817.16,UPI,Individual,user4510@fraudmail.com,Germany,USD,,False,False,False,False,False
TXN103351,CUST4351,41754.78,UPI,Business,user3351,India,THB,2024-08-03 21:00:00,False,False,False,False,False
TXN100682,CUST1682,13274.56,Crypto,Missing,user682,USA,GBP,2024-11-11 10:00:00,False,True,True,True,True
TXN107026,CUST8026,44023.65,Crypto,Business,user7026@outlook.com,USA,EUR,,False,True,False,True,False
TXN104070,CUST5070,15095.61,Net Banking,Individual,user4070@outlook.com,India,USD,2024-07-03 03:00:00,False,False,False,False,False
TXN105126,CUST6126,11339.13,Net Banking,VIP,,Thailand,USD,2024-01-07 00:00:00,False,False,False,False,False
TXN107334,CUST8334,18136.36,UPI,Unknown,user7334@outlook.com,Thailand,USD,2024-06-08 02:00:00,False,False,True,True,False
TXN104826,CUST5826,3285.3,Credit Card,Business,user4826@outlook.com,Germany,GBP,,False,False,False,False,False
TXN101437,CUST2437,3840.16,UPI,Unknown,user1437@fraudmail.com,India,THB,2024-12-08 07:00:00,False,False,True,True,False
TXN105802,CUST6802,12657.71,Crypto,Individual,user5802@outlook.com,USA,EUR,2024-03-03 14:00:00,False,True,False,True,False
TXN106472,CUST7472,26398.52,Crypto,Individual,user6472@outlook.com,India,THB,2024-12-10 20:00:00,False,True,False,True,False
TXN109683,CUST10683,33255.17,Unknown,VIP,user9683@yahoo.com,UK,EUR,,False,True,False,True,False
TXN100530,CUST1530,30952.78,Unknown,Missing,user530@gmail.com,India,USD,,False,True,True,True,True
TXN107411,CUST8411,5295.58,Crypto,Business,user7411,UK,THB,,False,True,False,True,False
TXN108892,CUST9892,21510.85,Crypto,Individual,user8892@tempmail.org,USA,INR,,False,True,False,True,False
TXN106196,CUST7196,5264.02,Credit Card,Missing,user6196@fraudmail.com,India,INR,2024-11-05 01:00:00,False,False,True,True,False
TXN103023,CUST4023,3926.0,Net Banking,Unknown,user3023@fraudmail.com,Germany,USD,2024-04-07 04:00:00,False,False,True,True,False
TXN109642,CUST10642,17589.24,Debit Card,Missing,user9642@fraudmail.com,USA,THB,2024-08-04 14:00:00,False,False,True,True,False
TXN106135,CUST7135,7883.38,UPI,Business,user6135,India,THB,,False,False,False,False,False
TXN104934,CUST5934,2009.53,Debit Card,Unknown,user4934,Thailand,USD,2024-07-06 01:00:00,False,False,True,True,False
TXN101303,CUST2303,18034.03,UPI,Business,user1303@outlook.com,Germany,USD,2024-11-02 23:00:00,False,False,False,False,False
TXN107903,CUST8903,27850.52,Net Banking,VIP,user7903@outlook.com,USA,USD,,False,False,False,False,False
TXN105658,CUST6658,36960.51,UPI,VIP,user5658,USA,GBP,,False,False,False,False,False
TXN108625,CUST9625,22481.98,Crypto,Individual,user8625@yahoo.com,Germany,GBP,2024-12-10 17:00:00,False,True,False,True,False
TXN100841,CUST1841,12982.15,Net Banking,Individual,user841@outlook.com,Germany,GBP,,False,False,False,False,False
TXN109829,CUST10829,16114.56,Crypto,Individual,user9829@yahoo.com,UK,THB,,False,True,False,True,False
TXN101799,CUST2799,14656.19,Unknown,VIP,user1799,USA,EUR,,False,True,False,True,False
TXN101278,CUST2278,42047.19,Net Banking,Missing,user1278@tempmail.org,UK,GBP,,False,False,True,True,False
TXN109153,CUST10153,6157.5,Debit Card,Individual,user9153@yahoo.com,USA,USD,,False,False,False,False,False
TXN108215,CUST9215,4219.87,UPI,Unknown,user8215,UK,INR,,False,False,True,True,False
TXN108383,CUST9383,33118.68,Debit Card,VIP,user8383,Thailand,USD,,False,False,False,False,False
TXN101522,CUST2522,65228.76,Unknown,Missing,user1522@gmail.com,India,GBP,2024-02-09 17:00:00,False,True,True,True,True
TXN108011,CUST9011,19604.86,Net Banking,Missing,user8011@fraudmail.com,Thailand,GBP,,False,False,True,True,False
TXN102934,CUST3934,42389.52,Unknown,Business,user2934@gmail.com,USA,INR,2024-12-01 13:00:00,False,True,False,True,False
TXN107906,CUST8906,41182.17,Unknown,Business,user7906,Germany,EUR,2024-06-10 13:00:00,False,True,False,True,False
TXN107721,CUST8721,7211.5,Unknown,Missing,user7721@yahoo.com,UK,INR,,False,True,True,True,True
TXN106751,CUST7751,36655.19,Debit Card,Missing,user6751@yahoo.com,Germany,USD,,False,False,True,True,False
TXN106004,CUST7004,6821.18,UPI,VIP,user6004@outlook.com,Thailand,GBP,,False,False,False,False,False
TXN107751,CUST8751,11492.31,Debit Card,Missing,,UK,EUR,,False,False,True,True,False
TXN102018,CUST3018,1415.91,Net Banking,Missing,user2018@fraudmail.com,USA,EUR,,False,False,True,True,False
TXN103509,CUST4509,10692.43,Crypto,Missing,,Germany,THB,,False,True,True,True,True
TXN103370,CUST4370,2740.58,Credit Card,Business,user3370,India,THB,,False,False,False,False,False
TXN103292,CUST4292,9723.16,Net Banking,Individual,user3292,UK,THB,,False,False,False,False,False
TXN105885,CUST6885,44434.96,Credit Card,Missing,user5885@fraudmail.com,UK,USD,2024-11-08 08:00:00,False,False,True,True,False
TXN103658,CUST4658,42977.8,Credit Card,Unknown,user3658,Germany,THB,,False,False,True,True,False
TXN109196,CUST10196,79858.63,UPI,Missing,user9196@fraudmail.com,UK,GBP,2024-06-11 04:00:00,True,False,True,True,True
TXN108247,CUST9247,35359.0,Credit Card,Individual,user8247@gmail.com,UK,GBP,2024-07-07 10:00:00,False,False,False,False,False
TXN100505,CUST1505,28953.71,Net Banking,Business,user505@fraudmail.com,Germany,EUR,2024-10-05 21:00:00,False,False,False,False,False
TXN103837,CUST4837,9310.26,UPI,Missing,user3837@yahoo.com,UK,GBP,,False,False,True,True,False
TXN103361,CUST4361,16354.87,Unknown,Individual,user3361@tempmail.org,Thailand,INR,,False,True,False,True,False
TXN103788,CUST4788,1069.9,Net Banking,Missing,user3788@fraudmail.com,Thailand,GBP,2024-10-09 07:00:00,False,False,True,True,False
TXN109325,CUST10325,27511.22,Debit Card,Individual,user9325,USA,EUR,2024-07-02 22:00:00,False,False,False,False,False
TXN103796,CUST4796,367.34,Crypto,Missing,user3796@gmail.com,India,INR,2024-01-03 07:00:00,False,True,True,True,True
TXN106980,CUST7980,33974.17,Debit Card,Missing,user6980@tempmail.org,India,GBP,2024-05-03 22:00:00,False,False,True,True,False
TXN109144,CUST10144,1656.1,Net Banking,VIP,user9144,India,EUR,,False,False,False,False,False
TXN102285,CUST3285,6179.46,Credit Card,Business,user2285@tempmail.org,UK,USD,,False,False,False,False,False
TXN104041,CUST5041,54380.15,UPI,Missing,user4041@yahoo.com,Germany,THB,,False,False,True,True,False
TXN102873,CUST3873,11503.13,Credit Card,Unknown,user2873@fraudmail.com,UK,GBP,,False,False,True,True,False
TXN103131,CUST4131,14308.22,Net Banking,Missing,user3131@outlook.com,India,GBP,,False,False,True,True,False
TXN109311,CUST10311,915.14,Unknown,Missing,user9311,USA,GBP,,False,True,True,True,True
TXN102034,CUST3034,13604.17,Debit Card,VIP,user2034@gmail.com,India,THB,,False,False,False,False,False
TXN102314,CUST3314,17019.13,Net Banking,Missing,user2314,Thailand,THB,,False,False,True,True,False
TXN109091,CUST10091,3572.15,Crypto,Missing,user9091@yahoo.com,UK,USD,,False,True,True,True,True
TXN101391,CUST2391,1021.82,Debit Card,Missing,user1391@fraudmail.com,UK,THB,2024-11-04 09:00:00,False,False,True,True,False
TXN102682,CUST3682,24599.67,Debit Card,Individual,user2682@fraudmail.com,USA,USD,2024-09-04 08:00:00,False,False,False,False,False
TXN103207,CUST4207,41179.16,Debit Card,Individual,user3207@yahoo.com,USA,USD,,False,False,False,False,False
TXN102187,CUST3187,2367.51,Net Banking,Unknown,user2187@tempmail.org,India,USD,2024-07-04 08:00:00,False,False,True,True,False
TXN102501,CUST3501,28248.29,Crypto,Unknown,user2501@fraudmail.com,UK,INR,,False,True,True,True,True
TXN102947,CUST3947,62804.82,UPI,Missing,user2947@yahoo.com,USA,THB,,False,False,True,True,False
TXN104662,CUST5662,27264.51,Net Banking,VIP,user4662,Thailand,THB,2024-08-02 12:00:00,False,False,False,False,False
TXN102895,CUST3895,39583.26,UPI,VIP,user2895,USA,THB,,False,False,False,False,False
TXN107501,CUST8501,35665.37,Debit Card,VIP,user7501,Germany,USD,,False,False,False,False,False
TXN103825,CUST4825,22658.54,UPI,Missing,user3825@tempmail.org,UK,THB,2024-11-04 16:00:00,False,False,True,True,False
TXN105482,CUST6482,10297.7,Debit Card,Missing,user5482,USA,INR,2024-07-10 07:00:00,False,False,True,True,False
TXN100458,CUST1458,6214.15,Crypto,Missing,user458@tempmail.org,Germany,THB,,False,True,True,True,True
TXN105600,CUST6600,57225.95,Debit Card,Missing,user5600,USA,INR,,False,False,True,True,False
TXN109797,CUST10797,5257.83,UPI,VIP,user9797@tempmail.org,USA,INR,2024-10-10 01:00:00,False,False,False,False,False
TXN105625,CUST6625,48759.03,UPI,Missing,user5625,Germany,EUR,,False,False,True,True,False
TXN102332,CUST3332,43347.77,Unknown,Individual,user2332@gmail.com,UK,USD,2024-11-09 19:00:00,False,True,False,True,False
TXN104454,CUST5454,6629.67,UPI,Individual,user4454,UK,THB,2024-10-07 19:00:00,False,False,False,False,False
TXN108243,CUST9243,11981.35,Unknown,Missing,user8243@yahoo.com,UK,USD,,False,True,True,True,True
TXN108708,CUST9708,45378.92,Net Banking,Missing,user8708@yahoo.com,Thailand,INR,,False,False,True,True,False
TXN104810,CUST5810,2691.16,Unknown,VIP,user4810@yahoo.com,Thailand,GBP,2024-07-02 13:00:00,False,True,False,True,False
TXN109006,CUST10006,21006.69,UPI,Business,user9006@tempmail.org,Germany,INR,,False,False,False,False,False
TXN106858,CUST7858,32333.61,Net Banking,Business,user6858@gmail.com,USA,EUR,2024-01-12 07:00:00,False,False,False,False,False
TXN100526,CUST1526,31141.06,Crypto,VIP,user526@gmail.com,Germany,THB,2024-04-02 07:00:00,False,True,False,True,False
TXN103909,CUST4909,23829.73,Net Banking,Unknown,user3909@fraudmail.com,UK,EUR,,False,False,True,True,False
TXN106060,CUST7060,12832.12,Net Banking,Missing,user6060@yahoo.com,Germany,INR,2024-05-02 07:00:00,False,False,True,True,False
TXN104187,CUST5187,33733.62,Credit Card,Missing,user4187@outlook.com,USA,EUR,,False,False,True,True,False
TXN107006,CUST8006,839.36,UPI,Missing,user7006@tempmail.org,USA,USD,,False,False,True,True,False
TXN104466,CUST5466,2271.3,Net Banking,Business,user4466@outlook.com,Germany,USD,2024-12-11 20:00:00,False,False,False,False,False
TXN105729,CUST6729,72452.14,Unknown,Missing,user5729@outlook.com,Germany,USD,,False,True,True,True,True
TXN109875,CUST10875,26531.92,Unknown,Missing,user9875@gmail.com,UK,USD,,False,True,True,True,True
TXN106005,CUST7005,26845.4,UPI,Individual,user6005@tempmail.org,UK,INR,,False,False,False,False,False
TXN105598,CUST6598,16014.44,Net Banking,VIP,user5598@tempmail.org,Germany,EUR,,False,False,False,False,False
TXN104183,CUST5183,41049.1,Debit Card,Missing,user4183@gmail.com,Germany,EUR,,False,False,True,True,False
TXN102789,CUST3789,8621.49,Crypto,Unknown,user2789@fraudmail.com,UK,THB,,False,True,True,True,True
TXN108717,CUST9717,17283.38,Crypto,Business,user8717,India,INR,2024-08-06 02:00:00,False,True,False,True,False
TXN104035,CUST5035,16192.51,UPI,Missing,user4035@yahoo.com,Germany,GBP,2024-04-11 17:00:00,False,False,True,True,False
TXN106832,CUST7832,11758.06,UPI,VIP,user6832@outlook.com,India,USD,,False,False,False,False,False
TXN101331,CUST2331,13273.92,Net Banking,Unknown,user1331@yahoo.com,UK,USD,2024-08-12 12:00:00,False,False,True,True,False
TXN107896,CUST8896,19257.19,Debit Card,Unknown,user7896,USA,EUR,,False,False,True,True,False
TXN104340,CUST5340,3113.51,UPI,VIP,user4340@gmail.com,UK,GBP,,False,False,False,False,False
TXN108165,CUST9165,4525.45,Net Banking,Unknown,user8165@outlook.com,Thailand,GBP,,False,False,True,True,False
TXN108184,CUST9184,9570.0,Net Banking,Missing,user8184@fraudmail.com,USA,THB,,False,False,True,True,False
TXN100473,CUST1473,1073.2,UPI,Missing,user473@tempmail.org,USA,USD,,False,False,True,True,False
TXN105958,CUST6958,31710.35,Unknown,Unknown,user5958,Germany,INR,,False,True,True,True,True
TXN107672,CUST8672,4795.08,Credit Card,Individual,user7672@outlook.com,Germany,INR,,False,False,False,False,False
TXN103722,CUST4722,7116.73,UPI,Missing,user3722@gmail.com,UK,GBP,,False,False,True,True,False
TXN103604,CUST4604,5592.49,Net Banking,Missing,user3604@tempmail.org,Germany,THB,,False,False,True,True,False
TXN107992,CUST8992,25868.16,Net Banking,Missing,user7992@fraudmail.com,Germany,EUR,,False,False,True,True,False
TXN108537,CUST9537,19683.69,Net Banking,Unknown,user8537@yahoo.com,Germany,USD,,False,False,True,True,False
TXN108130,CUST9130,22427.47,Unknown,VIP,user8130@fraudmail.com,Thailand,INR,2024-03-09 10:00:00,False,True,False,True,False
TXN104298,CUST5298,7399.5,Net Banking,Missing,user4298@gmail.com,USA,GBP,,False,False,True,True,False
TXN107106,CUST8106,62595.15,UPI,Business,user7106@outlook.com,India,INR,,False,False,False,False,False
TXN101340,CUST2340,8997.6,Crypto,Unknown,user1340@yahoo.com,UK,INR,,False,True,True,True,True
TXN108187,CUST9187,20152.45,Unknown,Unknown,user8187@outlook.com,India,THB,2024-10-03 21:00:00,False,True,True,True,True
TXN105859,CUST6859,8610.71,Crypto,VIP,user5859,USA,GBP,,False,True,False,True,False
TXN106180,CUST7180,24456.56,Unknown,Unknown,user6180,Thailand,USD,,False,True,True,True,True
TXN107667,CUST8667,8512.65,Credit Card,Individual,user7667,UK,USD,,False,False,False,False,False
TXN107286,CUST8286,87571.24,Net Banking,Missing,user7286@tempmail.org,Thailand,INR,,True,False,True,True,True
TXN102894,CUST3894,41137.46,Net Banking,VIP,user2894,India,GBP,,False,False,False,False,False
TXN103102,CUST4102,9964.74,Credit Card,VIP,user3102@gmail.com,USA,INR,,False,False,False,False,False
TXN104688,CUST5688,6765.56,Credit Card,Business,user4688@fraudmail.com,Thailand,GBP,,False,False,False,False,False
TXN101772,CUST2772,14119.44,UPI,Missing,user1772@tempmail.org,USA,EUR,,False,False,True,True,False
TXN104258,CUST5258,56207.7,Net Banking,Business,user4258@fraudmail.com,Germany,USD,,False,False,False,False,False
TXN104971,CUST5971,561.61,UPI,Missing,user4971,Thailand,USD,2024-07-04 02:00:00,False,False,True,True,False
TXN103802,CUST4802,1837.25,Crypto,Missing,user3802@gmail.com,USA,INR,,False,True,True,True,True
TXN100600,CUST1600,370.17,UPI,VIP,user600@outlook.com,Thailand,USD,,False,False,False,False,False
TXN108954,CUST9954,5362.95,Crypto,Business,,UK,INR,2024-04-05 04:00:00,False,True,False,True,False
TXN106195,CUST7195,20866.09,Net Banking,VIP,,USA,INR,,False,False,False,False,False
TXN108551,CUST9551,38512.69,Debit Card,Missing,user8551,UK,USD,,False,False,True,True,False
TXN104251,CUST5251,26781.45,Unknown,Individual,user4251@outlook.com,Thailand,THB,2024-01-01 16:00:00,False,True,False,True,False
TXN105312,CUST6312,3035.75,Debit Card,VIP,user5312@tempmail.org,USA,USD,2024-02-11 23:00:00,False,False,False,False,False
TXN102896,CUST3896,54306.94,UPI,Missing,user2896@tempmail.org,Thailand,EUR,2024-10-09 19:00:00,False,False,True,True,False
TXN101172,CUST2172,10712.55,Unknown,Missing,user1172@tempmail.org,India,EUR,,False,True,True,True,True
TXN106926,CUST7926,24503.17,Net Banking,Missing,user6926@tempmail.org,USA,USD,2024-07-02 01:00:00,False,False,True,True,False
TXN105003,CUST6003,25754.14,Debit Card,Business,user5003@tempmail.org,India,INR,,False,False,False,False,False
TXN107947,CUST8947,19970.52,UPI,Business,user7947@fraudmail.com,Thailand,USD,,False,False,False,False,False
TXN104935,CUST5935,11619.73,Debit Card,Individual,user4935@outlook.com,Germany,EUR,2024-07-10 18:00:00,False,False,False,False,False
TXN103703,CUST4703,736.45,Unknown,VIP,user3703,Germany,THB,,False,True,False,True,False
TXN106747,CUST7747,87778.19,UPI,Unknown,user6747@fraudmail.com,USA,EUR,,True,False,True,True,True
TXN102881,CUST3881,5928.28,Crypto,Missing,user2881@yahoo.com,UK,USD,,False,True,True,True,True
TXN106650,CUST7650,25220.15,Net Banking,Business,user6650,USA,GBP,,False,False,False,False,False
TXN107050,CUST8050,34869.84,Credit Card,Missing,user7050@yahoo.com,UK,USD,,False,False,True,True,False
TXN101810,CUST2810,62724.71,UPI,Missing,user1810@fraudmail.com,USA,THB,2024-03-11 05:00:00,False,False,True,True,False
TXN107168,CUST8168,13255.78,Unknown,Missing,user7168@fraudmail.com,Thailand,EUR,2024-01-11 12:00:00,False,True,True,True,True
TXN101027,CUST2027,30329.94,UPI,Missing,user1027@yahoo.com,UK,INR,2024-06-09 10:00:00,False,False,True,True,False
TXN105668,CUST6668,3148.34,Net Banking,Missing,user5668@fraudmail.com,USA,INR,,False,False,True,True,False
TXN108899,CUST9899,4830.08,Credit Card,Missing,user8899@outlook.com,USA,GBP,,False,False,True,True,False
TXN104098,CUST5098,8755.97,Net Banking,VIP,user4098@fraudmail.com,Germany,GBP,2024-12-01 04:00:00,False,False,False,False,False
TXN108573,CUST9573,2535.56,Unknown,Unknown,user8573@outlook.com,Thailand,GBP,,False,True,True,True,True
TXN102209,CUST3209,10324.45,Debit Card,Unknown,user2209@fraudmail.com,Thailand,EUR,2024-12-03 23:00:00,False,False,True,True,False
TXN103803,CUST4803,13050.71,Debit Card,Business,user3803,Thailand,THB,,False,False,False,False,False
TXN107941,CUST8941,2033.23,Debit Card,VIP,user7941,Germany,USD,2024-05-12 10:00:00,False,False,False,False,False
TXN105507,CUST6507,27983.75,Unknown,Missing,user5507@outlook.com,Thailand,GBP,,False,True,True,True,True
TXN101106,CUST2106,9651.01,Unknown,Missing,user1106@yahoo.com,India,THB,2024-03-01 12:00:00,False,True,True,True,True
TXN109307,CUST10307,59256.24,Net Banking,Missing,user9307@yahoo.com,UK,THB,2024-06-12 19:00:00,False,False,True,True,False
TXN100869,CUST1869,11822.16,UPI,Business,user869@gmail.com,Thailand,THB,,False,False,False,False,False
TXN106064,CUST7064,20664.96,Net Banking,Missing,user6064@yahoo.com,USA,THB,,False,False,True,True,False
TXN105638,CUST6638,10851.64,Debit Card,VIP,user5638@fraudmail.com,Germany,INR,,False,False,False,False,False
TXN108988,CUST9988,19880.1,Debit Card,Business,user8988@gmail.com,Germany,INR,,False,False,False,False,False
TXN102388,CUST3388,70256.7,Unknown,Missing,user2388,India,GBP,2024-11-08 22:00:00,False,True,True,True,True
TXN107937,CUST8937,13526.27,Debit Card,VIP,user7937,UK,INR,2024-10-09 11:00:00,False,False,False,False,False
TXN101053,CUST2053,9660.33,Debit Card,Missing,user1053@outlook.com,Thailand,GBP,,False,False,True,True,False
TXN103960,CUST4960,20537.36,Credit Card,Unknown,user3960@fraudmail.com,Thailand,USD,,False,False,True,True,False
TXN100376,CUST1376,10643.37,Debit Card,Unknown,,India,THB,2024-10-03 23:00:00,False,False,True,True,False
TXN102369,CUST3369,1674.51,Credit Card,VIP,user2369@tempmail.org,Germany,THB,2024-04-03 19:00:00,False,False,False,False,False
TXN104322,CUST5322,55000.43,UPI,Missing,user4322@tempmail.org,USA,EUR,,False,False,True,True,False
TXN107963,CUST8963,9312.91,Debit Card,Business,user7963@fraudmail.com,Germany,EUR,2024-02-10 10:00:00,False,False,False,False,False
TXN101390,CUST2390,452.41,Debit Card,Individual,user1390@tempmail.org,Germany,GBP,2024-05-01 20:00:00,False,False,False,False,False
TXN105819,CUST6819,27125.46,Net Banking,Business,user5819@gmail.com,Thailand,USD,2024-03-04 09:00:00,False,False,False,False,False
TXN105099,CUST6099,10456.79,Unknown,Missing,user5099,Thailand,GBP,2024-03-05 12:00:00,False,True,True,True,True
TXN108824,CUST9824,3218.1,Debit Card,VIP,user8824@yahoo.com,USA,INR,,False,False,False,False,False
TXN104745,CUST5745,16517.32,Unknown,Missing,user4745@fraudmail.com,Germany,USD,2024-07-07 22:00:00,False,True,True,True,True
TXN109346,CUST10346,528.25,Crypto,VIP,user9346,UK,GBP,2024-10-02 16:00:00,False,True,False,True,False
TXN109297,CUST10297,10070.4,Crypto,Business,user9297@outlook.com,Thailand,USD,,False,True,False,True,False
TXN109975,CUST10975,10947.35,Credit Card,Missing,user9975@yahoo.com,Thailand,GBP,,False,False,True,True,False
TXN105720,CUST6720,10419.0,Net Banking,Missing,user5720@fraudmail.com,India,GBP,,False,False,True,True,False
TXN106153,CUST7153,31156.65,Credit Card,Unknown,user6153@gmail.com,Thailand,THB,,False,False,True,True,False
TXN109098,CUST10098,1719.16,Debit Card,VIP,user9098,UK,USD,,False,False,False,False,False
TXN108145,CUST9145,55199.31,Crypto,VIP,,India,INR,,False,True,False,True,False
TXN106051,CUST7051,22401.25,Unknown,Individual,user6051,Thailand,USD,,False,True,False,True,False
